Geo_nios_3ch_0001	पिछले पाठ में हमने पढा कि पृथ्वी का आंतरिक भाग बहुत गर्म है ।	piCale pATa meM hamane paDA ki pqWvI kA AMwarika BAga bahuwa garma hE .	In the previous lesson, we have learnt that the interior of the earth is very hot.
Geo_nios_3ch_0002	भूकम्प और ज्वालामुखी कुछ संकरी पार्टियों के सहारे केन्द्रित हैं ।	BUkampa Ora jvAlAmuKI kuCa saMkarI pArtiyoM ke sahAre kenxriwa hEM .	Earthquakes and volcanoes are concentrated along a few narrow belts.
Geo_nios_3ch_0003	भूपृष्ठ की शैलों के प्रकार और घनत्व परिवर्तनशील हैं ।	BUpqRTa kI SEloM ke prakAra Ora Ganawva parivarwanaSIla hEM .	The type and density of rocks of the crust are variable.
Geo_nios_3ch_0004	धरातलीय लक्षणों की विशेषता उनका गतिशील होना है ।	XarAwalIya lakRaNoM kI viSeRawA unakA gawiSIla honA hE .	The surface features are dynamic in character.
Geo_nios_3ch_0005	उनकी यह गतिशीलता दो शक्तियों - आंतरिक एवं बाह्य का परिणाम है ।	unakI yaha gawiSIlawA xo SakwiyoM - AMwarika evaM bAhya kA pariNAma hE .	This dynamism is due to two forces — endogenetic and exogenetic.
Geo_nios_3ch_0006	आंतरिक शक्तियाँ वे हैं जो धरातल के नीचे से उत्पन्न होती हैं ।	AMwarika SakwiyAz ve hEM jo XarAwala ke nIce se uwpanna howI hEM .	Endogenetic forces are those which are caused from below the surface.
Geo_nios_3ch_0007a	इस शक्ति के परिणामस्वरूप एक क्षेत्र या तो ऊपर उठ जाता है ।	isa Sakwi ke pariNAmasvarUpa eka kRewra yA wo Upara uTa jAwA hE .	Due to this, an area may get elevated or gets submerged.
Geo_nios_3ch_0007b	या नीचे धस जाता है ।	yA nIce Xasa jAwA hE .	Due to this, an area may get elevated or gets submerged.
Geo_nios_3ch_0008	ये शक्तियाँ धरातल को अनियमित अथवा ऊबड-खाबड बनाने का प्रयत्न करती हैं ।	ye SakwiyAz XarAwala ko aniyamiwa aWavA Ubada-KAbada banAne kA prayawna karawI hEM .	These forces try to make the surface irregular .
Geo_nios_3ch_0009	जबकि बाह्य शक्तियाँ धरातल के ऊपर क्रियाशील रहती हैं ।	jabaki bAhya SakwiyAz XarAwala ke Upara kriyASIla rahawI hEM .	Exogenetic forces are those which operate from above the surface.
Geo_nios_3ch_0010a	ये शक्तियाँ अनाच्छदन की प्रक्रिया द्वारा धरातल की अनियमितता को समाप्त करके उसे समतल बनाने का प्रयत्न करती हैं |	ye SakwiyAz anAcCaxana kI prakriyA xvArA XarAwala kI aniyamiwawA ko samApwa karake use samawala banAne kA prayawna karawI hEM |	They try to eliminate the irregularities of the surface through the process of denudation about which we will be reading in lesson.
Geo_nios_3ch_0010b	अनाच्छादन की प्रक्रिया के विषय में हम अगले पाठों में अध्ययन करेंगे ।	anAcCAxana kI prakriyA ke viRaya meM hama agale pAToM meM aXyayana kareMge .	They try to eliminate the irregularities of the surface through the process of denudation about which we will be reading in lesson.
Geo_nios_3ch_0011	आइए इस पाठ में हम पृथ्वी की आंतरिक शक्तियों का अध्ययन करें ।	Aie isa pATa meM hama pqWvI kI AMwarika SakwiyoM kA aXyayana kareM .	In this lesson we will be studying about the endogenetic forces.
Geo_nios_3ch_0012	इस पाठ का अध्ययन करने के पश्चात् आप भूसंतुलन की परिभाषा बता सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa BUsaMwulana kI pariBARA bawA sakeMge .	After studying this lesson, you will be able to define isostasy.
Geo_nios_3ch_0013	इस पाठ का अध्ययन करने के पश्चात् आप पृथ्वी के धरातल पर उच्चावच के लक्षणों की विविधता का वर्णन कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa pqWvI ke XarAwala para uccAvaca ke lakRaNoM kI viviXawA kA varNana kara sakeMge .	After studying this lesson, you will be able to describe the variation in relief features on the earth’s surface.
Geo_nios_3ch_0014	इस पाठ का अध्ययन करने के पश्चात् आप विभिन्न प्रयोगों द्वारा भूसंतुलन सामंजस्य की व्याख्या कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa viBinna prayogoM xvArA BUsaMwulana sAmaMjasya kI vyAKyA kara sakeMge .	After studying this lesson, you will be able to explain the isostatic adjustment by various experiments.
Geo_nios_3ch_0015	इस पाठ का अध्ययन करने के पश्चात् आप एयरी और प्रैट के विचारों और उनके विचारों की भिन्नता को समझा सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa eyarI Ora prEta ke vicAroM Ora unake vicAroM kI BinnawA ko samaJA sakeMge .	After studying this lesson, you will be able to explain the views of Airy and Pratt and distinguish between the ideas of both.
Geo_nios_3ch_0016	इस पाठ का अध्ययन करने के पश्चात् आप महाद्वीपीय विस्थापन की अवधारणा की व्याख्या कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa mahAxvIpIya visWApana kI avaXAraNA kI vyAKyA kara sakeMge .	After studying this lesson, you will be able to explain the concept of continental drift.
Geo_nios_3ch_0017	इस पाठ का अध्ययन करने के पश्चात् आप महाद्वीपीय विस्थापन के प्रमाणों को गिना सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa mahAxvIpIya visWApana ke pramANoM ko ginA sakeMge .	After studying this lesson, you will be able to enumerate the evidences of continental drift.
