Geo_nios_4ch_0001	पृथ्वी अस्थिर है ।	pqWvI asWira hE .	We live on an unstable earth.
Geo_nios_4ch_0002	इसका धरातल असमतल है ।	isakA XarAwala asamawala hE .	The surface of which is uneven.
Geo_nios_4ch_0003	पृथ्वी पर विविध प्रकार की भू आकृतियाँ - पर्वत, पठार, पहाडियाँ, मैदान,कटक तथा उत्खात भूमियाँ दिखाई देती हैं ।	pqWvI para viviXa prakAra kI BU AkqwiyAz - parvawa, paTAra, pahAdiyAz, mExAna,kataka waWA uwKAwa BUmiyAz xiKAI xewI hEM .	While travelling, we come across a variety of landforms such as mountains, hills, plateaus, plains, cliffs and ravines.
Geo_nios_4ch_0004	हमें भू पृष्ठ पर झुके हुए, मुडे तथा टूटे हुए शैल संस्तर भी देखने को मिलते हैं, जो अपने मूल रूप में समानांतर रूपों में बिछे थे ।	hameM BU pqRTa para Juke hue, mude waWA tUte hue SEla saMswara BI xeKane ko milawe hEM, jo apane mUla rUpa meM samAnAMwara rUpoM meM biCe We .	We also come across tilted, broken and twisted layers of rocks which are originally deposited in horizontal forms.
Geo_nios_4ch_0005	विभिन्न प्रकार की शैलों, उनके बनने की प्रक्रिया व विशेषताओं के बारे में आप पढ चुके हैं ।	viBinna prakAra kI SEloM, unake banane kI prakriyA va viSeRawAoM ke bAre meM Apa paDa cuke hEM .	You have already studied about different types of rocks, their formation and characteristics.
Geo_nios_4ch_0006	शैलों का भू आकृतियों के आकार से गहरा संबंध है ।	SEloM kA BU AkqwiyoM ke AkAra se gaharA saMbaMXa hE .	There is a close relationship between rock types and the shape of landforms.
Geo_nios_4ch_0007	लेकिन पृथ्वी के स्वरूप की समस्त आकृतियाँ इसकी आंतरिक व वाह्य शक्तियों की सतत प्रक्रिया का परिणाम है ।	lekina pqWvI ke svarUpa kI samaswa AkqwiyAz isakI AMwarika va vAhya SakwiyoM kI sawawa prakriyA kA pariNAma hE .	But all deformation on the face of the earth are due to the continuous influence of internal and external forces.
Geo_nios_4ch_0008a	इस पाठ में हम पृथ्वी की आंतरिक शक्तियों के विषय में अध्ययन करेंगे ।	isa pATa meM hama pqWvI kI AMwarika SakwiyoM ke viRaya meM aXyayana kareMge .	In this lesson, we will study about the internal forces deriving their strength from earth’s interior and playing their role in shaping what we see on the earth’s crust.
Geo_nios_4ch_0008b	और देखेंगे कि पृथ्वी के धरातल पर वे क्या परिवर्तन करती हैं ।	Ora xeKeMge ki pqWvI ke XarAwala para ve kyA parivarwana karawI hEM .	In this lesson, we will study about the internal forces deriving their strength from earth’s interior and playing their role in shaping what we see on the earth’s crust.
Geo_nios_4ch_0009	इस पाठ का अध्ययन करने के पश्चात् आप आंतरिक बलों तथा उनके द्वारा निर्मित भू आकृतियों को स्पष्ट कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa AMwarika baloM waWA unake xvArA nirmiwa BU AkqwiyoM ko spaRta kara sakeMge .	After studying this lesson, you will be able to explain the endogenetic forces and the landforms produced by them.
Geo_nios_4ch_0010	इस पाठ का अध्ययन करने के पश्चात् आप मंद एवं आकस्मिक हलचलों में अंतर स्पष्ट कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa maMxa evaM Akasmika halacaloM meM aMwara spaRta kara sakeMge .	After studying this lesson, you will be able to distinguish between sudden and slow movements.
Geo_nios_4ch_0011	इस पाठ का अध्ययन करने के पश्चात् आप ऊर्ध्वाधर एवं समानांतर हलचलों में अंतर बता सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa UrXvAXara evaM samAnAMwara halacaloM meM aMwara bawA sakeMge .	After studying this lesson, you will be able to differentiate between vertical and horizontal movement.
Geo_nios_4ch_0012	इस पाठ का अध्ययन करने के पश्चात् आप वलन तथा भ्रंशन में अंतर स्पष्ट कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa valana waWA BraMSana meM aMwara spaRta kara sakeMge .	After studying this lesson, you will be able to differentiate between folding and faulting.
Geo_nios_4ch_0013	इस पाठ का अध्ययन करने के पश्चात् आप ज्वालामुखी प्रक्रिया के होने के कारण बता सकेंगें ।	isa pATa kA aXyayana karane ke paScAw Apa jvAlAmuKI prakriyA ke hone ke kAraNa bawA sakeMgeM .	After studying this lesson, you will be able to explain the causes of volcanic activity.
Geo_nios_4ch_0014	इस पाठ का अध्ययन करने के पश्चात् आप विभिन्न प्रकार के ज्वालामुखियों का वर्णन कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa viBinna prakAra ke jvAlAmuKiyoM kA varNana kara sakeMge .	After studying this lesson, you will be able to describe the different types of volcanoes.
Geo_nios_4ch_0015	इस पाठ का अध्ययन करने के पश्चात् आप संसार के रेखा मानचित्र में प्रमुख ज्वालामुखियों तथा भूकम्प प्रभावित क्षेत्रों की स्थिति दिखा सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa saMsAra ke reKA mAnaciwra meM pramuKa jvAlAmuKiyoM waWA BUkampa praBAviwa kRewroM kI sWiwi xiKA sakeMge .	After studying this lesson, you will be able to locate on the outline map of the world, important volcanoes and areas affected by earthquakes.
Geo_nios_4ch_0016	इस पाठ का अध्ययन करने के पश्चात् आप भूकम्प के कारणों व उनके प्रभाव को स्पष्ट कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa BUkampa ke kAraNoM va unake praBAva ko spaRta kara sakeMge .	After studying this lesson, you will be able to explain the causes of earthquakes and their effects.
Geo_nios_4ch_0017	पृथ्वी पर भू आकृतियों की विविधता उसके धरातल के अंदर और बाहर साथ-साथ कार्य करने वाली दो प्रकार की शक्तियों का अंतिम परिणाम है ।	pqWvI para BU AkqwiyoM kI viviXawA usake XarAwala ke aMxara Ora bAhara sAWa-sAWa kArya karane vAlI xo prakAra kI SakwiyoM kA aMwima pariNAma hE .	The variety in the types of land forms on the earth is the end result of two types of forces working simultaneously and continuously both inside and outside on its surface.
Geo_nios_4ch_0018	भूपृष्ठ के अंदर पैदा होने वाली इन शक्तियों को आंतरिक या अन्तर्जात बल कहते हैं ।	BUpqRTa ke aMxara pExA hone vAlI ina SakwiyoM ko AMwarika yA anwarjAwa bala kahawe hEM .	The forces which originate from within the earth’s crust or inside the earth are called internal or endogenetic forces.
Geo_nios_4ch_0019	इन बलों की ऊर्जा के स्रोत पृथ्वी की आंतरिक गर्मी तथा पृथ्वी के धरातल पर बाह्य बलों द्वारा शैल पदार्थों का स्थानांतरण है ।	ina baloM kI UrjA ke srowa pqWvI kI AMwarika garmI waWA pqWvI ke XarAwala para bAhya baloM xvArA SEla paxArWoM kA sWAnAMwaraNa hE .	The sources providing them energy are the internal heat, chemical reactions taking place within the earth, and the transfer of rock materials on the earth’s surface by external forces.
Geo_nios_4ch_0020a	सामान्यता हम लोगों को यह कहते हुए सुनते हैं कि पृथ्वी "शैल की तरह ठोस” तथा स्थिर है; ।	sAmAnyawA hama logoM ko yaha kahawe hue sunawe hEM ki pqWvI "SEla kI waraha Tosa waWA sWira hE; .	Though we generally hear people using phrase like “as hard as rock” and “as stable as the earth”, but these phrases are not true.
Geo_nios_4ch_0020b	लेकिन यह सत्य नहीं है ।	lekina yaha sawya nahIM hE .	Though we generally hear people using phrase like “as hard as rock” and “as stable as the earth”, but these phrases are not true.
Geo_nios_4ch_0021a	न तो पृथ्वी स्थिर है ।	na wo pqWvI sWira hE .	Neither the earth is stable nor are the rocks of which its crust is made, are so hard.
Geo_nios_4ch_0021b	और न ही शैल जिनमें पृथ्वी की बाह्य परत बनी है, इतनी ठोस है ।	Ora na hI SEla jinameM pqWvI kI bAhya parawa banI hE, iwanI Tosa hE .	Neither the earth is stable nor are the rocks of which its crust is made, are so hard.
