02_000_1	अथ अतः दिनचर्या-अध्यायम् व्याख्यास्यामः .	aWa awaH xinacaryA-aXyAyam vyAKyAsyAmaH .	We shall now expound the Dinacaryā  adhyāya-chapter on daily regimen;
02_000_2	इति ह स्म आहुः आत्रेय-आदयः महा-ऋषयः .	iwi ha sma AhuH Awreya-AxayaH mahA-qRayaH .	thus said ātreya and other great sages.
02_001_1_1	ब्राह्मे मुहूर्ते उत्तिष्ठेत् स्वस्थः रक्षा-अर्थम् आयुषः .	brAhme muhUrwe uwwiRTew svasWaH rakRA-arWam AyuRaH .	The healthy person should get up (from bed) during brahma muhurta, to protect his life,
02_001_2-003_1	शरीर-चिन्ताम् निर्वर्त्य कृत-शौच-विधिः ततः अर्क-न्यग्रोध-खदिर-करञ्ज-ककुभ-आदि-जम् प्रातः मृदु-अग्रम् कषाय-कटु-तिक्तकम् कनीनि-अग्र-सम-स्थौल्यम् प्र-गुणम् द्वादश-अङ्गुलम् भक्षयेत् दन्त-पवनम् दन्त-मांसानि अ-बाधयन् भुक्त्वा च (भक्षयेत्) .	SarIra-cinwAm nirvarwya kqwa-SOca-viXiH wawaH arka-nyagroXa-Kaxira-karaFja-kakuBa-Axi-jam prAwaH mqxu-agram kaRAya-katu-wikwakam kanIni-agra-sama-sWOlyam pra-guNam xvAxaSa-afgulam BakRayew xanwa-pavanam xanwa-mAMsAni a-bAXayan BukwvA ca (BakRayew) .	Contemplating on the condition of his body, the person should next, attend to ablutions, (after eliminating the urine and faeces),Then after, he should clean his teeth with twigs of arka, nyagrodha, khadira, karañja, kakubha, etc. which are astringent, pungent, and bitter in taste; they (twigs) should be of the size of the tip of the little finger in thickness and twelve aṅgulās (fingers breadth) in length and straight, its top made like a soft brush (by chewing), the teeth should be cleaned without hurting the gums.
02_004_1	न अद्यात् अ-जीर्ण-वमथु-श्वास-कास-ज्वर-अर्दिती तृष्णा-आस्य-पाक-हृद्-नेत्र-शिरः-कर्ण-आमयी च तत् .	na axyAw a-jIrNa-vamaWu-SvAsa-kAsa-jvara-arxiwI wqRNA-Asya-pAka-hqx-newra-SiraH-karNa-AmayI ca waw .	Persons suffering from indigestion, vomitting, dyspnoea, cough, fever, facial paralysis, thirst, ulcerations of the mouth, diseases of the heart, eyes, head and ears, should not make use of the tooth brush (for cleaning the teeth).
02_005_1_1	सौवीरम् अञ्जनम् नित्यम् हितम् अक्ष्णोः ततः भजेत् .	sOvIram aFjanam niwyam hiwam akRNoH wawaH Bajew .	Sauvīra añjana is good for the eyes, hence it should be used {as eyesalve) daily.
02_005_2-006_1_1	चक्षुः तेजोमयम् (भवति) तस्य विशेषात् श्लेष्मतः भयम् (भवति) योजयेत् सप्त-रात्रे (सति) अस्मात् स्रावण-अर्थम् रस-अञ्जनम् .	cakRuH wejomayam (Bavawi) wasya viSeRAw SleRmawaH Bayam (Bavawi) yojayew sapwa-rAwre (sawi) asmAw srAvaNa-arWam rasa-aFjanam .	The eye is full of tejas (light) and has risk of troubles especially from śleṣma (kapha); hence rasAfijana should be used once a week, to drain it (kapha) out.
02_006_2_1	ततः नावन-गण्डूष-धूम-ताम्बूल-भाग् भवेत् .	wawaH nAvana-gaNdURa-XUma-wAmbUla-BAg Bavew .	 Afterwards, the person should make use of nāvana (nasal drops}, gaṇḍūṣa ( mouth gargles ), dhūma (inhalation of smoke ), and tāmbūla ( chewing of betel leaves ). 
02_007_1	ताम्बूलम् क्षत-पित्तास्र-रूक्ष-उत्कुपित-चक्षुषाम् विष-मूर्छा-मद-आर्तानाम् अ-पथ्यम् शोषिणाम् अपि (भवति) .	wAmbUlam kRawa-piwwAsra-rUkRa-uwkupiwa-cakRuRAm viRa-mUrCA-maxa-ArwAnAm a-paWyam SoRiNAm api (Bavawi) .	Tāmbūla (betel-chewing) is unsuitable (harmful) to those suffering from wounds, bleeding diseases, dryness and redness of the eyes, poisoning, unconsciousness, intoxication and even from consumption.
02_008_1	अभ्यङ्गम् आचरेत् नित्यम् सः जरा-श्रम-वात-हा दृष्टि-प्रसाद-पुष्टि-आयुः-स्वप्न-सु-त्वक्त्व-दार्ढ्य-कृत् (च) (भवति) .	aByafgam Acarew niwyam saH jarA-Srama-vAwa-hA xqRti-prasAxa-puRti-AyuH-svapna-su-wvakwva-xArDya-kqw (ca) (Bavawi) .	Abhyajfiga (oil-massage and bath) should be resorted to daily, it wards off old age, exertion and (aggravation of) vata, bestows good vision, nourishment to the body, longlife, good sleep, good and strong (healthy) skin.
02_009_1_1	शिरः-श्रवण-पादेषु तम् विशेषेण शीलयेत् .	SiraH-SravaNa-pAxeRu wam viSeReNa SIlayew .	It should be cone specially to the head, ears and feet.
02_009_2_1	वर्ज्यः अभ्यङ्गः कफ-ग्रस्त-कृत-सम्-शुद्धि-अ-जीर्णिभिः .	varjyaH aByafgaH kaPa-graswa-kqwa-sam-SuxXi-a-jIrNiBiH .	It should be avoided by persons suffering from aggravation of kapha, who have (just) undergone purificatory therapies (like emesis, purgations etc.) and who are suffering from indigestion.
02_010_1	लाघवम् कर्म-सामर्थ्यम् दीप्तः अग्निः मेदसः क्षयः विभक्त-घन-गात्रत्वम् (च) व्यायामात् उपजायते .	lAGavam karma-sAmarWyam xIpwaH agniH mexasaH kRayaH viBakwa-Gana-gAwrawvam (ca) vyAyAmAw upajAyawe .	Lightness (of the body), ability to do (hard) work, keen digestion, depletion of (excess) fat, stable and distinct physique accrue from vyayama (physical exercises).
02_011_1_1	वात-पित्त-आमयी बालः वृद्धः अजीर्णः च तम् त्यजेत् .	vAwa-piwwa-AmayI bAlaH vqxXaH ajIrNaH ca wam wyajew .	Persons suffering from diseases of vata and pitta; children, the aged and those having indigestion should avoid it.
02_011_2-012_1_1	अर्ध-शक्त्या निषेव्यः तु बलिभिः स्निग्ध-भोजिभिः (पुरुषैः) शीत-काले वसन्ते च मन्दम् एव ततः अन्यदा (निषेव्यः) .	arXa-SakwyA niRevyaH wu baliBiH snigXa-BojiBiH (puruREH) SIwa-kAle vasanwe ca manxam eva wawaH anyaxA (niRevyaH) .	Persons who are strong and who indulge in fatty foods (daily); in cold seasons and spring (season) should do it (exercise) to half of their strength (capacity) only; while others (and in other seasons) should do it mildly.
02_012_2_1	तम् कृत्वा अनु-सुखम् देहम् मर्दयेत् च समन्ततः .	wam kqwvA anu-suKam xeham marxayew ca samanwawaH .	After doing it (exercises) all the parts of the body should be massaged comfortably.
02_013_1	तृष्णा क्षयः प्रतमकः रक्तपित्तम् श्रमः क्लमः अति-व्यायामतः कासः ज्वरः छर्दिः च जायते .	wqRNA kRayaH prawamakaH rakwapiwwam SramaH klamaH awi-vyAyAmawaH kAsaH jvaraH CarxiH ca jAyawe .	Thirst, emaciation, severe dyspnoea (difficult or excess breathing), bleeding diseases, exhaustion, feeling of debillty (even without any work), cough, fever and vomitting are caused by excess of exercise.
02_014_1	व्यायाम-जागर-अध्व-स्त्री-हास्य-भाषि-आदि साहसम् गजम् सिंहः इव आकर्षन् (विनश्यति) भजन् अति विनश्यति (पुरुषः) .	vyAyAma-jAgara-aXva-swrI-hAsya-BARi-Axi sAhasam gajam siMhaH iva AkarRan (vinaSyawi) Bajan awi vinaSyawi (puruRaH) .	Those who indulge daily in too much of physical exercise, keeping awake at nights (loss of sleep), walking long distances, sexual intercourse, too much of laughing, speaking and such other strenuous activities perish, justas a lion, after vanquishing an elephant.
02_015_1	उद्वर्तनम् कफ-हरम् मेदसः प्रविलायनम् स्थिरीकरणम् अङ्गानाम् त्वक्-प्रसाद-करम् परम् (च) (भवति) .	uxvarwanam kaPa-haram mexasaH pravilAyanam sWirIkaraNam afgAnAm wvak-prasAxa-karam param (ca) (Bavawi) .	Udvartana (massaging the body with soft, fragrant powders) mitigates kapha, liquifies the fat, produces stability (compactness, strength) of the body parts and excellence of the skin,
