02_01_0g1	अथ अतः दिनचर्याअध्यायम् व्याख्यास्यामः .	aWa awaH xinacaryAaXyAyam vyAKyAsyAmaH .	We shall now expound the chapter-  dinacaryā (daily regimen)
02_01_0g2	इति ह स्म आहुः आत्रेयआदयः महाऋषयः .	iwi ha sma AhuH AwreyaAxayaH mahAqRayaH .	thus said ātreya and other great sages
02_01_1	ब्राह्मे मुहूर्ते उत्तिष्ठेत् स्वस्थः रक्षाअर्थम् आयुषः .	brAhme muhUrwe uwwiRTew svasWaH rakRAarWam AyuRaH .	Now I will recite the Dinacharya chapter, as recounted by Atreya and other sages.To protect life, a healthy person should get up from bed at Brahma Muhurtha.
02_01_2-03_1	शरीरचिन्ताम् निर्वर्त्य कृतशौचविधिः ततः अर्कन्यग्रोधखदिरकरञ्जककुभआदिजम् प्रातः मृदुअग्रम् कषायकटुतिक्तकम् कनीनिअग्रसमस्थौल्यम् प्रगुणम् द्वादशअङ्गुलम् भक्षयेत् दन्तपवनम् दन्तमांसानि अबाधयन् भुक्त्वा च (भक्षयेत्) .	SarIracinwAm nirvarwya kqwaSOcaviXiH wawaH arkanyagroXaKaxirakaraFjakakuBaAxijam prAwaH mqxuagram kaRAyakatuwikwakam kanIniagrasamasWOlyam praguNam xvAxaSaafgulam BakRayew xanwapavanam xanwamAMsAni abAXayan BukwvA ca (BakRayew) .	After waking up, one should take care about his body (if one does not feel well, he may stay in bed and rest). After that, saucha vidhi follows (bowel movement, urination etc.).Cleaning teeth with a twig of following trees – Arka (Calotropis procera), Vata (Ficus benghalensis), Khadira (Acacia catechu), Karanja (Pongamia pinnata), Kakubha (Terminalia arjuna), Karavira (Nerium indicum) etc.The twigs suitable for cleaning should be as follows: the twig should be about 30 centimeters long and thick as one's ring finger, it should be straight without knobs and should have katu (pungent), tikta (bitter)and kasaya (astringent) rasa (taste). The teeth should be cleaned early in the morning and immediately after meal without injuring the gums or teeth.
02_04_1	न अद्यात् अजीर्णवमथुश्वासकासज्वरअर्दिती तृष्णाआस्यपाकहृद्नेत्रशिरःकर्णआमयी च तत् .	na axyAw ajIrNavamaWuSvAsakAsajvaraarxiwI wqRNAAsyapAkahqxnewraSiraHkarNaAmayI ca waw .	Patients with the following diseases should not clean teets with dhantvan but with finger:Adjirna (loss of appetite),Vamathu (vomiting),Svasa (dyspnoea),Kasa (cough),Djvara (fever),Ardita (facial paralysis),Trshna (thirst),Asyapaka (gingivitis),Hrdaya roga (heart diseases), netra roga (eye diseases), shiro roga (head disease) and karna roga (ear diseases).
02_05_1	सौवीरम् अञ्जनम् नित्यम् हितम् अक्ष्णोः ततः भजेत् .	sOvIram aFjanam niwyam hiwam akRNoH wawaH Bajew .	Daily use of Sauveera Andjana protects the eyes. The eyes are connected to the element of Agni Mahabhuta and collecting Kapha is a threat for Agni. Therefore, Rasanjana should be applied once a week for stravana (washing away the disturbed Kapha dosha.
02_05_2-06_1	चक्षुः तेजोमयम् (भवति) तस्य विशेषात् श्लेष्मतः भयम् (भवति) योजयेत् सप्तरात्रे (सति) अस्मात् स्रावणअर्थम् रसअञ्जनम् .	cakRuH wejomayam (Bavawi) wasya viSeRAw SleRmawaH Bayam (Bavawi) yojayew sapwarAwre (sawi) asmAw srAvaNaarWam rasaaFjanam .	Daily use of Sauveera Andjana protects the eyes. The eyes are connected to the element of Agni Mahabhuta and collecting Kapha is a threat for Agni. Therefore, Rasanjana should be applied once a week for stravana (washing away the disturbed Kapha dosha.
02_06_2	ततः नावनगण्डूषधूमताम्बूलभाग् भवेत् .	wawaH nAvanagaNdURaXUmawAmbUlaBAg Bavew .	After Andjana vidhi, the following should be performed: Nasya karma (nose drops), Gandusha (mouth gargling), Dhumapana (inhalation of healing smokes) and Tambula (chewing betel leaves).
02_07_1	ताम्बूलम् क्षतपित्तास्ररूक्षउत्कुपितचक्षुषाम् विषमूर्छामदआर्तानाम् अपथ्यम् शोषिणाम् अपि (भवति) .	wAmbUlam kRawapiwwAsrarUkRauwkupiwacakRuRAm viRamUrCAmaxaArwAnAm apaWyam SoRiNAm api (Bavawi) .	Betel chewing is contraindication for the following persons:Ksata (injury),Urakshata (chest injury),Pittavikar (Pitta disorders),Raktapitta (bleeding),Ruksa (dryness in the body),Kupita caksu (eye diseases),Visa dusta (poisoning),Murccha (loss of consciousness),Madatya (intoxication),Sosa (weakness, wasting).
02_08_1	अभ्यङ्गम् आचरेत् नित्यम् सः जराश्रमवातहा दृष्टिप्रसादपुष्टिआयुःस्वप्नसुत्वक्त्वदार्ढ्यकृत् (च) (भवति) .	aByafgam Acarew niwyam saH jarASramavAwahA xqRtiprasAxapuRtiAyuHsvapnasuwvakwvaxArDyakqw (ca) (Bavawi) .	A regular oil massage (abhyang) is useful. It delays the attributes of ageing, alleviates fatigue and the excess of Vata. It improves sight, nourishes body tissues, prolongs life, induces good sleep, improves the skin properties and tones up muscles. The massage should be specially done on ears, head and feet. Contraindications of abhyanga are conditions of increased Kapha, cold etc., after Vamana and Virechana procedures and in poor digestion.
02_09_1	शिरःश्रवणपादेषु तम् विशेषेण शीलयेत् .	SiraHSravaNapAxeRu wam viSeReNa SIlayew .	A regular oil massage (abhyang) is useful. It delays the attributes of ageing, alleviates fatigue and the excess of Vata. It improves sight, nourishes body tissues, prolongs life, induces good sleep, improves the skin properties and tones up muscles. The massage should be specially done on ears, head and feet. Contraindications of abhyanga are conditions of increased Kapha, cold etc., after Vamana and Virechana procedures and in poor digestion.
