Geo_nios_1ch_0001		प्रस्तावित पाठ का उद्देश्य विषय के स्वरूप की व्याख्या करना है ।		praswAviwa pATa kA uxxeSya viRaya ke svarUpa kI vyAKyA karanA hE .		The purpose of the proposed text is to explain the nature of the subject.
Geo_nios_1ch_0002a		यह भूगोल के महत्व पर प्रकाश डालता है।		yaha BUgola ke mahawva para prakASa dAlawA hE.		It highlights the importance of geography.
Geo_nios_1ch_0002b		तथा एक विषय के रूप में भूगोल की प्रकृति का वर्णन करता है ।		waWA eka viRaya ke rUpa meM BUgola kI prakqwi kA varNana karawA hE .		And describes the nature of geography as a subject.
Geo_nios_1ch_0003a		यह ज्ञान को विस्तृत करने का प्रयास करता है ।		yaha jFAna ko viswqwa karane kA prayAsa karawA hE .		It tries to expand knowledge.
Geo_nios_1ch_0003b		और आधारभूत संकल्पनाओं के साथ-साथ तकनीकी शब्दों की व्याख्या करता है, जो भौगोलिक ज्ञान के घटक हैं ।		Ora AXAraBUwa saMkalpanAoM ke sAWa-sAWa wakanIkI SabxoM kI vyAKyA karawA hE, jo BOgolika jFAna ke Gataka hEM .		And explains the basic concepts as well as technical words, which are components of geographical knowledge.
Geo_nios_1ch_0004a		इसके अलावा अवधारणाओं को क्रमबद्ध व व्यवस्थित व्यवहारों में विकसित करने का प्रयास करता है ।		isake alAvA avaXAraNAoM ko kramabaxXa va vyavasWiwa vyavahAroM meM vikasiwa karane kA prayAsa karawA hE .		In addition, it tries to develop concepts in orderly and systematic behaviors.
Geo_nios_1ch_0004b		और विषय की रोचकता को बढाता है ।		Ora viRaya kI rocakawA ko baDAwA hE .		And increases the interestingness of the subject.
Geo_nios_1ch_0005a		भूगोल एक प्राचीनतम भू-विज्ञान है ।		BUgola eka prAcInawama BU-vijFAna hE .		Geography is an oldest geology.
Geo_nios_1ch_0005b		और इसकी नींव प्रारंभिक यूनानी विद्वानों के कार्यों में दिखाई पडती है ।		Ora isakI nIMva prAraMBika yUnAnI vixvAnoM ke kAryoM meM xiKAI padawI hE .		And its foundation is shown in the works of initial Greek scholars.
Geo_nios_1ch_0006		भूगोल शब्द का प्रथम प्रयोग यूनानी विद्वान इरेटॉस्थनीज ने तीसरी शताब्दी ईसा पूर्व में किया था ।		BUgola Sabxa kA praWama prayoga yUnAnI vixvAna iretaॉsWanIja ne wIsarI SawAbxI IsA pUrva meM kiyA WA .		The first use of the word Geography was done by the Greek scholar Eratosthene in the third century BC.
Geo_nios_1ch_0007		Geo ‘‘पृथ्वी’’ और Graphy ‘‘वर्णन करना’ भूगोल का शाब्दिक अर्थ है, जो पृथ्वी के धरातलीय सतहों का वर्णन करता है ।		Geo ‘‘pqWvI’’ Ora Graphy ‘‘varNana karanA’ BUgola kA SAbxika arWa hE, jo pqWvI ke XarAwalIya sawahoM kA varNana karawA hE .		Geo "Earth" and Grapphy "describe" geography literally means, which describes the surfaces of the Earth.
Geo_nios_1ch_0008		दूसरे शब्दों में भूगोल विस्तृत पैमाने पर सभी भौतिक व मानवीय तथ्यों की अन्तःक्रियाओं और इन अन्तःक्रियाओं से उत्पन्न स्थलरूपों का अध्ययन करता है ।		xUsare SabxoM meM BUgola viswqwa pEmAne para saBI BOwika va mAnavIya waWyoM kI anwaHkriyAoM Ora ina anwaHkriyAoM se uwpanna sWalarUpoM kA aXyayana karawA hE .		In other words, geography studies the interactions of all physical and human facts on a detailed scale and the places generated from these interactions.
Geo_nios_1ch_0009a		यह बताता है।		yaha bawAwA hE.		It tells.
Geo_nios_1ch_0009b		कैसे, क्यों और कहाँ मानवीय व प्राकृतिक क्रियाकलापों का उद्भव होता है ।		kEse, kyoM Ora kahAz mAnavIya va prAkqwika kriyAkalApoM kA uxBava howA hE .		How, why and where human and natural activities emerge.
Geo_nios_1ch_0009c		और कैसे ये क्रियाकलाप एक दूसरे से अंतर्संबंधित हैं ।		Ora kEse ye kriyAkalApa eka xUsare se aMwarsaMbaMXiwa hEM .		And how these activities are interrelated with each other.
Geo_nios_1ch_0010		भूगोल की अध्ययन विधि परिवर्तित होती रही है ।		BUgola kI aXyayana viXi parivarwiwa howI rahI hE .		The study method of geography has been changing.
Geo_nios_1ch_0011		प्रारंभिक विद्वान वर्णनात्मक भूगोलवेत्ता थे ।		prAraMBika vixvAna varNanAwmaka BUgolavewwA We .		Early scholars were descriptive geography.
Geo_nios_1ch_0012		बाद में, भूगोल विश्लेषणात्मक भूगोल के रूप में विकसित हुआ ।		bAxa meM, BUgola viSleRaNAwmaka BUgola ke rUpa meM vikasiwa huA .		Later, geography developed as analytical geography.
Geo_nios_1ch_0013a		आज यह विषय न केवल वर्णन करता है |		Aja yaha viRaya na kevala varNana karawA hE |		Today this topic not only describes.
Geo_nios_1ch_0013b		बल्कि विश्लेषण करता है।		balki viSleRaNa karawA hE.		Rather analyzes.
Geo_nios_1ch_0013c		इसके साथ-साथ यह भविष्यवाणी भी करता है ।		isake sAWa-sAWa yaha BaviRyavANI BI karawA hE .		Along with this it also predicts.
Geo_nios_1ch_0014		इस पाठ में आप दैनिक जीवन में भूगोल के महत्व के बारे में सीख सकेंगे ।		isa pATa meM Apa xEnika jIvana meM BUgola ke mahawva ke bAre meM sIKa sakeMge .		In this lesson, you will be able to learn about the importance of geography in daily life.
Geo_nios_1ch_0015		यह अध्ययन आपको अपने स्थान के बारे में बडी रोचकता से समझने के लिए प्रोत्साहित करेगा ।		yaha aXyayana Apako apane sWAna ke bAre meM badI rocakawA se samaJane ke lie prowsAhiwa karegA .		This study will encourage you to understand very interestingly about your location.
Geo_nios_1ch_0016		इस पाठ का अध्ययन करने के पश्चात् आप दैनिक जीवन में भूगोल की उपयोगिता बता सकेंगे ।		isa pATa kA aXyayana karane ke paScAw Apa xEnika jIvana meM BUgola kI upayogiwA bawA sakeMge .		After studying this lesson, you will be able to tell the usefulness of geography in daily life.
Geo_nios_1ch_0017		इस पाठ का अध्ययन करने के पश्चात् आप विषय के रूप में भूगोल के विकास का पता लगा सकेंगे ।		isa pATa kA aXyayana karane ke paScAw Apa viRaya ke rUpa meM BUgola ke vikAsa kA pawA lagA sakeMge .		After studying this lesson, you will be able to find out the development of geography as a subject.
Geo_nios_1ch_0018		इस पाठ का अध्ययन करने के पश्चात् आप मानव-वातावरण के संबंधों और उसके एक दूसरे पर प्रभाव को समझ सकेंगे ।		isa pATa kA aXyayana karane ke paScAw Apa mAnava-vAwAvaraNa ke saMbaMXoM Ora usake eka xUsare para praBAva ko samaJa sakeMge .		After studying this lesson, you will be able to understand the relationship of human-environment and its impact on each other.
